name,edition,publisher,expansion,deck,number,type,players,cost,vps,prereqs,passLeft,category,text
Shifting Cultivation,Revised,Mayfair,Base (Revised),A,2,Minor Improvement, ,2 Food, , ,X,Farm Planner,Immediately plow 1 field.
Clay Embankment,Revised,Mayfair,Base (Revised),A,5,Minor Improvement, ,1 Food, , ,X,Building Resource Provider,You immediately get 1 clay for every 2 clay you already have in your supply.
Young Animal Market,Revised,Mayfair,Base (Revised),A,9,Minor Improvement, ,1 Sheep, , ,X,Livestock Provider,"You immediately get 1 cattle. (Effectively, you are exchanging 1 sheep for 1 cattle.)"
Drinking Trough,Revised,Mayfair,Base (Revised),A,12,Minor Improvement, ,1 Clay, , , ,Farm Planner,Each of your pastures (with or without a stable) can hold up to 2 more animals.
Rammed Clay,Revised,Mayfair,Base (Revised),A,16,Minor Improvement, , , , , ,Farm Planner,"When you play this card, you immediately get 1 clay. You can use clay instead of wood to build fences."
Handplow,Revised,Mayfair,Base (Revised),A,19,Minor Improvement, ,1 Wood, , , ,Farm Planner,"Add 5 to the current round and place 1 field tile on the corresponding round space. At the start of that round, you can plow the field."
Threshing Board,Revised,Mayfair,Base (Revised),A,24,Minor Improvement, ,1 Wood,1,2 Occupations, ,Actions Booster,"Each time you use the ""Farmland"" or ""Cultivation"" action space, you get an additional ""Bake Bread"" action."
Sleeping Corner,Revised,Mayfair,Base (Revised),A,26,Minor Improvement, ,1 Wood,1,2 Grain Fields, ,Actions Booster,"You can use any ""Wish for Children"" action space even if it is occupied by one other player's person."
Manger,Revised,Mayfair,Base (Revised),A,32,Minor Improvement, ,2 Wood, , , ,Points Provider,"During scoring, if your pastures cover at least 6/7/8/10 farm yard spaces, you get 1/2/3/4 bonus points."
Big Country,Revised,Mayfair,Base (Revised),A,33,Minor Improvement, , , ,All Farmyard Spaces Used, ,Points Provider,"For each complete round left to play, you immediately get 1 bonus point and 2 food."
Wool Blankets,Revised,Mayfair,Base (Revised),A,38,Minor Improvement, , , ,5 Sheep, ,Points Provider,"During scoring, if you live in a wooden/clay/stone house by then, you get 3/2/0 bonus points."
