name,edition,publisher,expansion,deck,number,type,players,cost,vps,prereqs,passLeft,category,text
Mini Pasture,Revised,Mayfair,Base (Revised),B,2,Minor Improvement, ,2 Food, , ,X,Farm Planner,"Immediately fence a farmyard space, without paying wood for the fences. (If you already have pastures, the new one must be adjacent to an existing one.)"
Market Stall,Revised,Mayfair,Base (Revised),B,8,Minor Improvement, ,1 Grain, , ,X,Crop Provider,"You immediately get 1 vegetable. (Effectively, you are exchanging 1 grain for 1 vegetable)."
Caravan,Revised,Mayfair,Base (Revised),B,10,Minor Improvement, ,"3 Wood,3 Food", , , ,Farm Planner,This card provides room for 1 person.
Carpenter's Parlor,Revised,Mayfair,Base (Revised),B,13,Minor Improvement, ,"1 Wood,1 Stone", , , ,Farm Planner,Wooden rooms only cost you 2 wood and 2 reed each.
Mining Hammer,Revised,Mayfair,Base (Revised),B,16,Minor Improvement, ,1 Wood, , , ,Farm Planner,"When you play this card, you immediately get 1 food. Each time you renovate, you can also build a stable without paying wood."
Moldboard Plow,Revised,Mayfair,Base (Revised),B,19,Minor Improvement, ,2 Wood, ,1 Occupation, ,Farm Planner,"Place 2 field tiles on this card. Twice this game, when you use the ""Farmland"" action space, you can also plow 1 field from this card."
Lasso,Revised,Mayfair,Base (Revised),B,24,Minor Improvement, ,1 Reed, , , ,Actions Booster,"You can place exactly two people immediately after one another if at least one of them uses the ""Sheep Market"", ""Pig Market"", or ""Cattle Market"" accumulation space."
Bread Paddle,Revised,Mayfair,Base (Revised),B,25,Minor Improvement, ,1 Wood, , , ,Actions Booster,"When you play this card, you immediately get 1 food. For each occupation you play, you get an additional ""Bake Bread"" action."
Mantlepiece,Revised,Mayfair,Base (Revised),B,33,Minor Improvement, ,1 Stone,-3,Clay or Stone House, ,Points Provider,"When you play this card, you immediately get 1 bonus point for each complete round left to play. You may no longer renovate your house."
Bottles,Revised,Mayfair,Base (Revised),B,36,Minor Improvement, ,special,4, , ,Points Provider,"For each person you have, you must pay an additional 1 clay and 1 food to play this card."
Loom,Revised,Mayfair,Base (Revised),B,39,Minor Improvement, ,1 Wood,1,2 Occupations, ,Points Provider,"In the field phase of each harvest, if you have at least 1/4/7 sheep, you get 1/2/3 food. During scoring, you get 1 bonus point for every 3 sheep."
Strawberry Patch,Revised,Mayfair,Base (Revised),B,45,Minor Improvement, ,1 Wood,2,2 Vegetable Fields, ,Food Provider,"Place 1 food on each of the next 3 round spaces. At the start of these rounds, you get the food."
Herring Pot,Revised,Mayfair,Base (Revised),B,47,Minor Improvement, ,1 Clay, , , ,Food Provider,"Each time you use the ""Fishing"" accumulation space, place 1 food on each of the next 3 round spaces. At the start of these rounds, you get the food."
Butter Churn,Revised,Mayfair,Base (Revised),B,50,Minor Improvement, ,1 Wood,1,At Most 3 Occupations, ,Food Provider,"In the field phase of each harvest, you get 1 food for every 3 sheep and 1 food for every 2 cattle you have."
Brook,Revised,Mayfair,Base (Revised),B,56,Minor Improvement, ,, ,"1 of Your People on ""Fishing""", ,Food Provider,"Each time you use one of the four action spaces above the ""Fishing"" accumulation space, you get 1 additional food."
Scullery,Revised,Mayfair,Base (Revised),B,57,Minor Improvement, ,"1 Wood,1 Clay", , , ,Food Provider,"At the start of each round, if you live in a wooden house, you get 1 food."
Three-Field Rotation,Revised,Mayfair,Base (Revised),B,61,Minor Improvement, , , ,3 Occupations, ,Food Provider,"At the start of the field phase of each harvest, if you have at least 1 grain field, 1 vegetable field, and 1 empty field, you get 3 food."
Pitchfork,Revised,Mayfair,Base (Revised),B,62,Minor Improvement, ,1 Wood, , , ,Food Provider,"Each time you use the ""Grain Seeds"" action space, if the ""Farmland"" action space is occupied you also get 3 food."
Sack Cart,Revised,Mayfair,Base (Revised),B,66,Minor Improvement, ,2 Wood, ,2 Occupations, ,Crop Provider,"Place 1 grain each on the remaining spaces for rounds 5, 8, 11, and 14. At the start of these rounds, you get the grain."
